School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
Providence College,RI,Providence,City: Midsize,"12,521",Yes,Yes,51%,86%,---,49%,3.54,No,3.11%,28.29%,11.77%,23.96%,0.33%,---,5.48%,27.06%,25,30,31,33,---,---,32,24,---,24,---,---,29,29,---,8.34%,550,670,660,660,1330,1400,660,540,1250,49.47%,55%,45%,---,9%,2%,81%,---,1%,---,6%,"$65,960","$65,960","$88,170",549,673,"1,197","4,556",83%,94%,86%,"$26,118",17%,"$29,024","$46,645","$4,000","$5,129","$3,229","$10,746","$5,411","$30,981","$30,040",83%,82%,5%,2%,12%,82%,82%,61%,62%,11%,12%,"$53,195","$33,480","$24,086","$23,408","$26,070",
Provo College,---,Provo,---,12,---,---,92%,---,---,92%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,69%,31%,---,13%,1%,70%,1%,2%,1%,11%,"$16,491","$16,491","$16,491",4,9,---,705,38%,76%,42%,---,---,---,"$27,159",$540,"$6,600","$4,000","$9,704","$9,235","$8,917","$5,684",91%,61%,43%,4%,61%,91%,---,83%,83%,4%,61%,---,---,---,"$25,175","$30,790",
Purdue University-Main Campus,IN,West Lafayette,City: Small,"78,526",No,Yes,50%,---,---,50%,3.76,No,33.42%,31.31%,4.47%,9.47%,0.33%,---,2.42%,18.51%,27,31,34,35,---,---,31,26,---,26,---,---,30,34,---,25.44%,600,650,720,760,1320,1460,670,600,1190,79.48%,39%,61%,---,8%,3%,60%,---,17%,---,12%,"$9,992","$28,794","$27,142","6,843","4,422","9,381","44,170",65%,93%,84%,"$5,821",32%,"$8,075","$12,421",$329,"$5,342","$6,792","$9,001","$5,142","$19,587","$11,126",60%,39%,13%,11%,13%,54%,35%,27%,28%,6%,13%,"$21,130","$18,919","$8,948","$5,925","$4,927",
Queen's University,---,Kingston,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Queens University of Charlotte,NC,Charlotte,City: Large,"5,142",Yes,Yes,57%,71%,50%,57%,---,---,---,---,---,---,---,---,---,---,24,26,29,29,---,---,25,22,---,23,---,---,25,27,---,14.50%,560,610,650,650,1200,1300,590,550,1110,17.30%,57%,43%,---,16%,17%,59%,---,3%,---,4%,"$45,846","$45,846","$70,709",111,146,399,"1,225",52%,74%,61%,"$19,924",94%,"$27,121","$27,178","$3,700","$4,977","$6,461","$9,248","$5,435","$17,175","$29,713",99%,99%,3%,20%,21%,99%,99%,38%,40%,9%,24%,"$31,276","$28,378","$24,168","$23,207","$17,332",
Quinnipiac University,CT,Hamden,Suburb: Large,"21,319",Yes,Yes,77%,89%,---,77%,3.6,No,16.90%,24.40%,10.60%,14.70%,0.20%,---,7.90%,25.30%,24,28,29,30,---,---,27,23,---,24,---,---,27,29,---,3%,560,610,650,650,1200,1300,590,540,1100,27%,59%,41%,---,12%,4%,75%,---,4%,---,5%,"$57,700","$57,700","$80,030",742,"1,051","1,797","6,248",72%,87%,77%,"$28,063",96%,"$28,224","$39,632","$3,378","$5,094","$4,971","$13,050","$5,325","$26,963","$30,035",100%,100%,16%,8%,17%,100%,100%,65%,66%,19%,17%,"$41,944","$39,079","$34,111","$34,294","$31,257",
Ramapo College of New Jersey,NJ,Mahwah,Suburb: Large,"8,976",Yes,Yes,71%,83%,---,71%,3.52,No,16.50%,21.20%,14.40%,13.90%,1.20%,---,10.30%,22.30%,22,24,30,28,---,---,24,22,---,18,---,---,21,30,---,1%,570,610,650,650,1190,1270,580,550,1120,24%,61%,39%,---,27%,6%,52%,---,10%,---,5%,"$16,777","$27,708","$39,793",420,657,"1,012","5,444",56%,84%,70%,"$7,098",53%,"$8,784","$17,348","$3,036","$5,481","$7,952","$9,936","$5,235","$17,923","$12,980",84%,66%,4%,27%,28%,83%,54%,47%,49%,13%,28%,"$26,671","$25,667","$18,536","$12,761","$10,142",
Randolph-Macon College,VA,Ashland,Suburb: Large,"3,242",Yes,Yes,87%,92%,93%,81%,3.7,No,32.52%,20.49%,8.65%,12.59%,0.94%,---,8.65%,16.17%,21,26,27,27,---,---,28,21,---,20,---,---,24,28,---,2.44%,500,580,630,590,1135,1210,555,480,1040,26.13%,53%,47%,---,6%,9%,74%,---,3%,---,7%,"$50,950","$50,950","$68,652",250,282,431,"1,643",62%,84%,70%,"$29,542",97%,"$28,093","$29,058","$2,322","$4,790","$4,282","$8,009","$5,210","$17,522","$32,348",100%,100%,9%,76%,22%,100%,99%,61%,62%,10%,22%,"$29,417","$28,916","$28,921","$24,278","$20,959",
Reed College,OR,Portland,City: Large,"9,431",Yes,Yes,25%,15%,---,25%,4.01,Yes,53.24%,25.90%,1.80%,4.68%,---,---,0.36%,14.03%,30,32,34,35,---,---,34,32,---,27,---,---,29,34,---,21%,680,710,750,770,1410,1510,700,610,1300,52%,46%,33%,22%,13%,2%,64%,---,9%,---,12%,"$71,770","$71,770","$91,948",101,142,351,"1,346",57%,87%,71%,---,---,"$45,242","$36,993","$1,848","$5,193","$4,632","$7,241","$5,036","$18,580","$46,317",61%,55%,12%,1%,12%,60%,54%,45%,47%,6%,12%,"$53,463","$28,552","$14,080","$25,846","$19,418",
Regis University,CO,Denver,City: Large,"11,464",No,Yes,86%,87%,---,86%,3.63,No,26%,18%,12%,14%,1%,---,10%,19%,22,---,29,29,---,---,---,21,---,22,---,---,---,31,---,3%,520,---,620,600,---,---,---,500,---,1%,68%,32%,---,39%,6%,41%,---,7%,---,7%,"$47,490","$47,490","$67,510",186,392,501,"2,704",54%,72%,69%,"$24,119",97%,"$25,037","$25,062","$3,230","$4,961","$7,822","$7,137","$4,886","$16,254","$30,517",98%,97%,18%,38%,39%,98%,97%,49%,50%,7%,40%,"$29,220","$24,108","$21,418","$19,039","$18,252",
Rensselaer Polytechnic Institute,NY,Troy,City: Small,"17,193",Yes,Yes,63%,58%,72%,50%,3.8,No,32%,36%,3%,6%,---,---,1%,22%,30,32,34,---,---,---,---,---,---,---,---,---,---,---,---,11%,670,680,740,770,1410,1500,730,705,1330,49%,32%,68%,---,12%,5%,48%,---,23%,---,11%,"$66,024","$66,024","$87,744",892,422,"1,552","5,743",71%,91%,84%,"$36,413",158%,"$41,926","$35,940","$2,139","$5,478","$3,068","$8,839","$5,174","$24,073","$43,994",96%,96%,18%,18%,19%,96%,96%,57%,58%,9%,19%,"$39,583","$33,615","$25,624","$24,670","$21,009",
Renton Technical College,WA,Renton,City: Midsize,"5,548",No,No,76%,---,---,76%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,45%,55%,---,20%,18%,22%,---,19%,1%,20%,"$6,895","$7,551","$29,479",152,125,---,"3,060",---,---,---,---,---,"$2,012","$7,621",$308,"$4,238","$5,237","$7,976","$5,876","$18,686","$8,179",62%,59%,32%,51%,35%,60%,20%,6%,7%,1%,35%,"$13,962","$13,031","$8,250","$4,344","$4,050",
Rhode Island School of Design,RI,Providence,City: Midsize,"6,692",Yes,No,19%,27%,---,18%,3.76,No,26%,32%,6%,9%,---,---,1%,26%,31,32,34,35,---,---,32,35,---,28,---,---,29,33,---,3%,688,730,750,780,1490,1540,760,708,1370,15%,74%,26%,---,12%,7%,32%,---,39%,---,10%,"$65,136","$65,136","$90,312",134,384,504,"2,087",48%,95%,89%,"$12,157",1%,"$33,895","$42,106","$1,000","$5,594","$1,000","$8,586","$5,445","$32,912","$36,743",40%,33%,16%,1%,16%,38%,33%,30%,30%,3%,16%,"$60,428","$46,882","$36,834","$31,023","$33,653",
Rhodes College,TN,Memphis,City: Large,"6,365",Yes,Yes,50%,37%,---,51%,3.7,No,18%,40%,5%,14%,---,---,2%,21%,28,30,32,35,---,---,34,29,---,26,---,---,28,31,---,33%,660,690,760,740,1400,1490,710,670,1290,17%,54%,43%,3%,8%,10%,63%,---,9%,---,10%,"$58,810","$58,810","$77,110",171,217,483,"1,793",73%,91%,84%,"$31,596",96%,"$34,678","$30,590","$1,463","$5,203","$4,907","$6,318","$4,537","$25,622","$37,543",100%,100%,17%,40%,17%,100%,99%,54%,54%,4%,17%,"$33,764","$23,056","$16,317","$13,319","$12,814",
Rice University,TX,Houston,City: Large,"32,473",Yes,No,8%,17%,---,7%,---,---,---,---,---,---,---,---,---,---,34,35,35,36,---,---,35,35,---,33,---,---,35,36,---,22%,740,760,770,800,1550,1570,790,770,1500,48%,49%,51%,---,19%,9%,29%,---,33%,---,9%,"$63,431","$63,431","$88,196",586,561,"1,125","4,789",86%,97%,95%,"$26,665",9%,"$51,409","$20,587","$2,984","$5,448","$4,525","$10,083","$5,169","$27,304","$53,526",66%,57%,4%,6%,16%,58%,57%,6%,7%,1%,16%,"$39,303","$18,783","$1,348","$3,666","$3,221",
Rider University,NJ,Lawrenceville,Suburb: Large,"9,069",No,Yes,79%,---,89%,73%,3.49,No,22%,14%,12%,14%,2%,---,17%,21%,22,27,29,32,---,---,26,23,---,18,---,---,23,28,---,2%,560,620,660,650,1210,1310,590,540,1100,18%,57%,43%,---,20%,14%,54%,---,5%,---,6%,"$38,900","$38,900","$59,130",347,457,806,"3,196",56%,80%,63%,"$22,362",100%,"$21,981","$26,618",$792,"$5,278","$10,797","$9,609","$5,230","$19,269","$27,411",100%,100%,34%,30%,35%,100%,100%,62%,64%,15%,36%,"$31,746","$28,544","$22,356","$19,245","$17,331",
Ringling College of Art and Design,FL,Sarasota,City: Small,"2,244",No,Yes,70%,---,---,70%,3.49,No,15%,23%,12%,14%,4%,---,9%,22%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,75%,25%,---,21%,5%,53%,---,12%,---,8%,"$55,480","$55,480","$81,209",92,275,447,"1,689",58%,86%,72%,"$15,567",77%,"$14,098","$60,362","$3,195","$5,512","$4,778","$14,416","$5,522","$38,120","$16,058",100%,100%,6%,19%,19%,100%,98%,35%,37%,9%,19%,"$60,033","$57,165","$55,349","$50,588","$50,332",
Rio Hondo College,CA,Whittier,Suburb: Large,"3,622",No,No,81%,---,---,81%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,45%,55%,---,71%,2%,10%,---,5%,---,11%,"$1,306","$12,506","$34,097",923,769,---,"17,193",---,---,---,---,---,"$1,300","$13,920",$569,"$4,036","$1,932","$4,009","$4,009",---,"$5,492",84%,84%,6%,84%,58%,84%,---,---,---,---,58%,"$11,240","$15,971","$13,812","$11,521","$11,073",
Roanoke College,VA,Salem,Suburb: Midsize,"6,829",Yes,Yes,80%,---,---,80%,3.41,No,14.66%,17.07%,14.26%,13.25%,5.42%,---,17.27%,18.07%,22,26,30,33,---,---,30,24,---,19,---,---,23,27,---,7%,560,600,650,620,1180,1270,580,530,1090,29%,55%,45%,---,7%,7%,80%,---,2%,---,4%,"$36,040","$36,040","$51,406",239,292,531,"1,824",68%,78%,71%,"$16,491",94%,"$21,601","$27,695","$2,509","$5,241","$4,467","$8,300","$5,646","$8,377","$26,341",100%,100%,27%,58%,27%,100%,100%,91%,93%,31%,29%,"$32,137","$26,939","$24,279","$19,396","$20,269",
Rochester Institute of Technology,NY,Rochester,Suburb: Large,"27,911",Yes,Yes,67%,72%,---,67%,4,No,43.29%,24.65%,4.17%,10.36%,1.22%,1.46%,3.90%,10.72%,27,31,33,34,---,---,32,24,---,26,---,---,29,32,---,10.70%,640,680,720,740,1370,1460,690,640,1280,42.90%,36%,64%,---,11%,6%,63%,---,13%,---,8%,"$61,804","$61,804","$81,354","1,953","1,079","3,056","14,267",28%,89%,72%,"$22,755",97%,"$29,658","$39,753",$584,"$5,498","$3,331","$10,110","$5,124","$22,681","$31,931",99%,99%,24%,22%,28%,99%,98%,65%,65%,15%,28%,"$34,772","$30,655","$25,561","$25,200","$24,475",
Rocky Mountain College,MT,Billings,City: Midsize,"1,405",No,No,70%,---,---,70%,3.42,No,10%,27%,13%,12%,5%,---,16%,16%,18,21,24,23,---,---,21,16,---,18,---,---,20,25,---,44%,488,580,565,568,1110,1240,530,405,990,6%,39%,61%,---,10%,6%,74%,3%,---,---,7%,"$37,005","$37,005","$52,757",170,110,211,851,28%,69%,48%,"$17,551",11%,"$23,265","$19,173","$2,062","$4,716",---,"$8,257","$5,183","$19,388","$25,571",100%,100%,25%,---,37%,100%,100%,63%,63%,10%,37%,"$23,838","$16,833","$15,553","$15,016","$15,604",
Rocky Mountain College of Art and Design,---,Denver,---,"4,997",No,No,87%,---,---,87%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,71%,29%,---,14%,11%,56%,2%,4%,---,13%,"$20,190","$20,190","$46,522",33,80,---,"1,888",45%,58%,48%,---,---,"$2,867","$27,459","$1,027","$5,479","$2,000","$10,978","$8,251","$17,012","$6,593",94%,81%,18%,8%,43%,94%,66%,75%,77%,13%,43%,"$32,376","$31,693","$28,579","$26,409","$23,444",
Roger Williams University,RI,Bristol,Suburb: Large,"8,029",No,Yes,88%,---,94%,80%,3.45,No,21.13%,15.13%,13.13%,14.91%,2.89%,---,16.35%,16.35%,24,28,29,26,---,---,26,23,---,21,---,---,26,27,---,2%,580,620,660,650,1220,1300,600,560,1130,19%,53%,47%,---,12%,4%,71%,---,2%,---,11%,"$44,418","$44,418","$65,913",424,482,"1,022","4,038",65%,81%,70%,"$17,429",96%,"$21,350","$37,936","$1,901","$4,804","$1,789","$13,020","$5,237","$22,963","$22,491",99%,99%,7%,1%,19%,99%,99%,71%,71%,24%,19%,"$41,052","$38,086","$34,861","$29,765","$29,475",
Rollins College,FL,Winter Park,Suburb: Large,"8,860",Yes,No,48%,41%,---,48%,3.46,No,5.10%,24.30%,14.60%,17.80%,0.20%,---,15.30%,22.70%,25,28,30,32,---,---,29,24,---,22,---,---,26,27,---,15%,610,660,680,660,1290,1360,630,580,1210,25%,63%,37%,---,20%,6%,62%,---,4%,---,7%,"$62,950","$62,950","$87,650",216,367,639,"2,640",68%,85%,75%,"$24,849",32%,"$32,507","$37,134","$2,036","$5,158","$5,800","$8,048","$5,382","$19,661","$35,713",93%,92%,9%,45%,19%,93%,90%,39%,40%,6%,19%,"$41,399","$31,970","$29,454","$28,884","$25,481",
Rosemont College,PA,Rosemont,Suburb: Large,"1,577",No,No,75%,---,---,75%,3.2,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,49%,51%,---,12%,24%,28%,---,1%,---,35%,"$22,171","$22,171","$38,922",45,44,101,484,37%,67%,42%,"$8,604",68%,"$12,874","$19,297",$975,"$4,960","$4,186","$10,506","$6,788","$15,266","$17,563",100%,100%,26%,35%,60%,100%,100%,100%,100%,24%,60%,"$29,681","$24,812","$21,085","$10,438","$6,915",
Sacred Heart University,CT,Fairfield,Suburb: Large,"14,284",Yes,Yes,68%,---,---,69%,3.65,No,---,51%,12%,10%,---,---,7%,21%,25,---,30,---,---,---,---,---,---,---,---,---,---,---,---,2.40%,590,---,650,650,---,---,---,580,---,14.10%,62%,38%,---,13%,3%,77%,---,2%,---,4%,"$52,410","$52,410","$76,110",729,"1,174","1,905","6,960",68%,85%,75%,"$20,072",98%,"$19,362","$46,165","$2,118","$5,043","$3,348","$15,672","$5,366","$30,650","$20,597",100%,99%,13%,7%,15%,99%,98%,61%,63%,21%,16%,"$47,318","$47,177","$43,128","$38,526","$37,374",
Saint Anselm College,NH,Manchester,Suburb: Midsize,"4,423",Yes,Yes,78%,91%,---,78%,3.48,No,8%,20%,13%,22%,1%,---,13%,23%,24,26,30,34,---,---,24,21,---,20,---,---,27,28,---,0.88%,570,600,658,620,1180,1270,580,540,1090,18.60%,63%,37%,---,5%,2%,84%,---,1%,---,9%,"$50,580","$50,580","$72,702",210,356,572,"2,094",74%,88%,80%,"$28,732",98%,"$29,355","$35,091","$1,150","$4,858","$1,514","$10,575","$5,360","$20,867","$30,009",100%,100%,9%,4%,10%,100%,100%,71%,72%,18%,10%,"$36,648","$33,874","$27,460","$26,360","$23,658",
Saint Edward's University,TX,Austin,City: Large,"5,611",No,No,84%,---,---,84%,---,---,---,---,---,---,---,---,---,---,20,22,25,26,---,---,22,20,---,17,---,---,20,23,---,6.50%,530,590,640,595,1140,1235,550,500,1030,19.90%,58%,42%,---,59%,3%,30%,---,3%,---,4%,"$51,384","$51,384","$70,678",274,385,659,"2,731",54%,78%,64%,"$26,316",91%,"$32,698","$28,351","$3,895","$5,172","$4,214","$8,563","$5,253","$19,109","$37,176",99%,99%,5%,46%,43%,99%,99%,42%,43%,8%,43%,"$35,487","$26,084","$22,064","$20,775","$18,740",
Saint Joseph's University,PA,Philadelphia,City: Large,"10,631",Yes,Yes,89%,39%,---,90%,3.7,No,31.12%,16.09%,10.42%,14.27%,0.45%,---,10.73%,16.92%,28,28,31,32,---,---,29,27,---,24,---,---,27,28,---,2%,590,630,680,670,1250,1330,620,580,1150,24%,57%,43%,---,9%,7%,70%,---,9%,---,5%,"$55,380","$55,380","$75,132",566,758,"1,196","5,044",74%,89%,79%,"$28,627",88%,"$27,579","$36,392",$967,"$5,163","$4,309","$11,025","$5,360","$21,466","$29,400",100%,100%,17%,16%,19%,100%,100%,63%,64%,17%,19%,"$36,689","$37,264","$33,514","$33,882","$30,742",
Saint Louis University,MO,Saint Louis,City: Large,"15,533",Yes,Yes,75%,58%,---,75%,3.79,No,41.25%,17.81%,6.51%,10.04%,1.33%,0.69%,8.28%,13.77%,23,28,31,33,---,---,29,22,---,22,---,---,27,29,---,46%,560,670,680,700,1340,1430,670,560,1210,14%,59%,41%,---,9%,12%,56%,---,15%,---,7%,"$57,960","$57,960","$80,936",662,950,"1,775","10,436",72%,88%,80%,"$25,270",92%,"$36,058","$30,911","$4,145","$4,974","$2,729","$7,750","$5,347","$17,811","$38,498",99%,99%,12%,22%,24%,99%,99%,49%,50%,7%,25%,"$33,177","$26,695","$22,950","$20,738","$20,869",
Saint Martin's University,WA,Lacey,City: Small,"2,127",No,No,90%,---,---,90%,3.46,No,6%,29%,18%,14%,3%,---,16%,17%,14,19,22,19,---,---,16,11,---,14,---,---,15,16,---,3%,500,545,590,590,1070,1180,525,470,970,10%,60%,40%,---,25%,7%,38%,1%,11%,4%,14%,"$46,856","$46,856","$67,777",96,142,263,"1,210",42%,65%,52%,"$25,123",171%,"$26,989","$22,779",$716,"$5,159","$9,219","$8,029","$6,121","$16,467","$33,751",84%,83%,19%,41%,36%,84%,83%,61%,61%,7%,36%,"$29,720","$25,956","$19,090","$20,657","$15,233",
Saint Mary's College,IN,Notre Dame,Suburb: Large,"2,573",Yes,No,76%,70%,---,77%,3.91,No,42.70%,28.80%,3.80%,10.60%,---,---,1.30%,12.90%,26,27,30,33,---,---,29,25,---,23,---,---,25,28,---,15%,580,620,680,645,1200,1310,580,550,1100,52%,100%,---,---,17%,2%,75%,---,2%,---,4%,"$55,093","$55,093","$72,117",---,396,419,"1,495",63%,88%,69%,"$35,468",69%,"$33,033","$30,389",$946,"$5,161","$7,079","$10,478","$5,369","$21,689","$35,270",100%,100%,14%,14%,23%,100%,100%,55%,56%,14%,23%,"$33,026","$30,396","$21,529","$26,610","$17,918",
Saint Mary's College of California,CA,Moraga,Suburb: Large,"4,309",No,Yes,89%,---,---,89%,3.58,No,19.80%,18.40%,13%,17.50%,0.50%,---,10.60%,20.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,52%,48%,---,34%,5%,38%,---,8%,2%,12%,"$59,751","$59,751","$83,457",200,221,503,"1,955",60%,85%,69%,"$26,664",99%,"$38,166","$31,615",$602,"$5,301","$8,696","$7,023","$5,351","$20,843","$42,080",100%,100%,27%,27%,27%,100%,100%,78%,78%,6%,27%,"$39,616","$28,746","$24,408","$17,139","$17,981",
Salem College,NC,Winston Salem,City: Midsize,"2,246",No,No,79%,---,---,79%,3.86,No,42.40%,20.70%,8.10%,9.60%,0.70%,---,3.70%,14.80%,16,22,22,24,---,---,20,14,---,15,---,---,21,22,---,7%,553,655,643,600,1235,1315,580,513,1078,6%,100%,---,---,19%,18%,47%,3%,2%,---,10%,"$35,200","$35,200","$50,746",---,136,156,464,50%,68%,57%,"$25,007",100%,"$21,958","$19,000","$2,832","$5,523","$6,407","$5,729","$5,243","$14,822","$28,860",100%,100%,12%,56%,57%,100%,99%,69%,69%,2%,57%,"$22,832","$20,207","$18,561","$19,467","$16,009",
Salisbury University,MD,Salisbury,Suburb: Small,"8,845",Yes,Yes,87%,80%,94%,77%,3.72,No,35%,16.16%,12.20%,11.90%,0.20%,---,11%,13.60%,20,26,29,30,---,---,27,18.5,---,19,---,---,26,26,---,1%,600,640,670,650,1250,1310,610,580,1180,11%,55%,45%,---,8%,13%,70%,---,3%,---,6%,"$11,306","$22,810","$30,996",641,780,"1,376","6,288",50%,78%,68%,"$4,211",77%,"$4,166","$17,931","$2,221","$5,089","$6,268","$7,530","$5,134","$15,859","$8,192",94%,89%,9%,30%,29%,94%,88%,42%,44%,7%,29%,"$23,689","$20,344","$14,904","$12,779","$7,351",
Salish Kootenai College,MT,Pablo,Rural: Distant,"1,471",No,No,73%,---,---,73%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,47%,53%,---,7%,---,26%,64%,---,1%,1%,"$6,399","$11,583","$17,319",40,35,---,636,23%,87%,33%,---,---,"$1,225","$9,551",$800,"$4,645","$1,692","$5,175","$5,175",---,"$4,716",73%,73%,9%,3%,59%,73%,33%,9%,9%,---,59%,---,"$11,987","$11,660","$8,954","$8,263",
Samford University,AL,Birmingham,Suburb: Large,"4,559",No,No,82%,---,---,82%,3.88,No,42%,24%,5%,10%,---,---,3%,16%,22,25,28,30,---,---,26,22,---,19,---,---,24,26,---,66%,550,600,640,610,1160,1260,560,520,1070,25%,67%,33%,---,5%,5%,85%,---,1%,---,3%,"$41,910","$41,910","$62,706",359,728,"1,080","4,210",68%,93%,77%,"$19,212",96%,"$20,527","$32,176",$994,"$5,264","$2,120","$8,410","$5,270","$17,881","$21,758",100%,100%,11%,25%,11%,100%,100%,34%,34%,6%,11%,"$33,894","$32,769","$27,995","$24,253","$21,891",
Samuel Merritt University,CA,Oakland,City: Large,"3,622",No,No,81%,---,---,81%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,24%,6%,29%,---,27%,1%,13%,"$59,920","$59,920","$59,920",---,---,---,741,---,---,---,---,---,---,---,---,"$4,555",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
San Diego Mesa College,CA,San Diego,City: Large,"3,622",---,---,81%,---,---,81%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,51%,49%,---,41%,7%,28%,---,14%,---,9%,"$1,150","$10,006","$40,385",578,592,---,"19,243",---,---,---,---,---,"$2,759","$3,175","$2,442","$4,537","$5,124","$4,169","$3,022","$17,167","$8,983",82%,79%,39%,74%,43%,79%,1%,3%,4%,---,52%,"$3,323","$6,170","$3,115",---,---,
San Diego State University,CA,San Diego,City: Large,"90,509",No,No,36%,---,---,36%,3.84,No,37%,30%,3%,9%,---,---,1%,20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,60%,40%,---,37%,4%,34%,---,14%,---,11%,"$9,180","$22,500","$32,041","2,586","3,953","6,162","34,637",56%,91%,76%,"$3,811",2%,"$2,035","$19,500",$500,"$5,473","$4,603","$7,137","$5,004","$21,117","$5,459",95%,94%,4%,40%,24%,95%,90%,28%,30%,3%,24%,"$24,913","$18,176","$14,205","$10,241","$9,655",
San Francisco Art Institute,CA,San Francisco,City: Large,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,27%,2%,37%,---,12%,---,22%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
